seed,ga_variant,generation,nevals,avg_fitness,max_fitness
52,vanilla_ga,10,18,0.9361558827990615,0.9362948324272272
52,improved_ga,0,20,0.9038089036192367,0.9350500488220846
52,improved_ga,1,13,0.9332981130273248,0.9355581772703895
52,improved_ga,2,18,0.9351719705813556,0.9357447218660794
52,improved_ga,3,20,0.9348877439194585,0.9356140841601741
52,improved_ga,4,16,0.9355731094413018,0.9356140841601741
52,improved_ga,5,16,0.9355319023289855,0.9356140841601741
52,improved_ga,6,18,0.9352545093120508,0.9356140841601741
52,improved_ga,7,14,0.9355620074395024,0.9356140841601741
52,improved_ga,8,16,0.9356140841601743,0.9356140841601741
52,improved_ga,9,18,0.9355867097248348,0.9356140841601741
52,improved_ga,10,17,0.9353103824882025,0.935686415543718
62,vanilla_ga,0,20,0.9233921612846607,0.9358376185380766
62,vanilla_ga,1,16,0.9301941458867763,0.9355203288479078
62,vanilla_ga,2,20,0.9335363734749281,0.9355203288479078
62,vanilla_ga,3,12,0.9351155580603153,0.9360063591246962
62,vanilla_ga,4,20,0.9355820733990212,0.9360063591246962
62,vanilla_ga,5,18,0.9357597239187113,0.9360063591246962
62,vanilla_ga,6,10,0.9357737409668869,0.9360063591246962
62,vanilla_ga,7,12,0.9358404229698538,0.9360063591246962
62,vanilla_ga,8,16,0.9353127865004625,0.9363417942179498
62,vanilla_ga,9,16,0.9360399026340216,0.9363417942179498
62,vanilla_ga,10,17,0.9360012890671499,0.9363417942179498
62,improved_ga,0,20,0.9233921612846607,0.9358376185380766
62,improved_ga,1,15,0.9193755327781178,0.9358376185380766
62,improved_ga,2,18,0.9350095209552295,0.9362014801906348
62,improved_ga,3,20,0.935751592591596,0.9362014801906348
62,improved_ga,4,16,0.9358041719426062,0.9362014801906348
62,improved_ga,5,11,0.9361785360953171,0.9362014801906348
62,improved_ga,6,14,0.9355857276167617,0.9362014801906348
62,improved_ga,7,16,0.9355972330801716,0.9362014801906348
62,improved_ga,8,12,0.9359378682558959,0.9362014801906348
62,improved_ga,9,19,0.9355548836607982,0.9362014801906348
62,improved_ga,10,17,0.9360118101790424,0.9362014801906348
72,vanilla_ga,0,20,0.9267894983781477,0.9350999594645265
